"candidate_number","coalition_proportional","alliance_proportional"
487,35.01724,32.85714
488,6.55161,6.38889
489,88.30435,76.66667
490,16.925,16.42857
491,30.77273,28.75
492,6.13595,5.75
493,13.01923,12.77778
494,6.72517,6.57143
495,11.09836,10.95238
496,27.08,25.55556
497,10.63351,10.45455
498,15.74419,15.33333
499,6.88475,6.76471
500,19.52885,19.16667
501,63.46875,57.5
502,18.13393,17.69231
503,10.155,10
504,13.91096,13.52941
505,8.32377,8.21429
506,8.67949,8.51852
507,8.98673,8.84615
508,9.7177,9.58333
509,40.62,38.33333
510,9.35945,9.2
511,21.60638,20.90909
512,11.73988,11.5
513,135.4,115
514,6.30745,6.05263
515,6.21101,5.89744
516,8.02767,7.93103
517,7.75191,7.66667
518,14.82482,14.375
519,6.00888,5.47619
520,12.38415,12.10526
521,7.52222,7.41935
522,6.38679,6.21622
523,23.89412,23
524,6.08084,5.60976
525,338.5,230
526,7.27957,7.1875
527,7.07666,6.9697
528,11.87719,11.625
529,12.46012,12.13043
530,81.24,69.75
531,20.72449,19.92857
532,9.44651,9.3
533,9.85922,9.62069
534,19.16038,18.6
535,13.54,13.28571
536,17.81579,17.4375
537,7.63534,7.54054
538,7.43956,7.34211
539,16.78512,16.41176
540,11.34637,11.16
541,8.2898,8.20588
542,29.01429,27.9
543,50.775,46.5
544,26.37662,25.36364
545,7.87209,7.75
546,15.86719,15.5
547,22.56667,21.46154
548,43.21277,39.85714
549,12.85443,12.68182
550,32.2381,31
551,14.30282,13.95
552,7.22776,7.15385
553,36.92727,34.875
554,8.869,8.71875
555,8.56962,8.45455
556,10.97838,10.73077
557,10.46907,10.33333
558,203.1,139.5
559,10.10448,9.96429
560,8.124,7.97143
561,61.54545,55.8
562,112.83333,93
563,24.46988,23.25
564,9.10762,9
565,14.93382,14.68421
566,1015.5,279
567,6.74751,6.62069
568,10.36224,10.10526
569,34.42373,32
570,19.71845,19.2
571,25.07407,24
572,6.95548,6.85714
573,9.31651,9.14286
574,11.47458,11.29412
575,14.0069,13.71429
576,22.31868,21.33333
577,17.97345,17.45455
578,41.44898,38.4
579,28.60563,27.42857
580,290.14286,192
581,75.22222,64
582,12.16168,12
583,7.20213,7.11111
584,10.91935,10.66667
585,8.15663,8
586,15.04444,14.76923
587,7.46691,7.38462
588,53.44737,48
589,7.78161,7.68
590,16.5122,16
591,9.76442,9.6
592,13.10323,12.8
593,126.9375,96
594,8.90789,8.72727
595,8.4625,8.34783
596,8.71674,8.61905
597,23.34483,22.625
598,27.44595,25.85714
599,31.73438,30.16667
600,65.51613,60.33333
601,7.05208,6.96154
602,9.62559,9.52632
603,225.66667,181
604,17.06723,16.45455
605,18.80556,18.1
606,7.33213,7.24
607,6.02671,5.48485
608,106.89474,90.5
609,9.19005,9.05
610,38.32075,36.2
611,11.60571,11.3125
612,10.20603,10.05556
613,5.88696,5.02778
614,6.63725,6.46429
